season,week,pool_id,pool_label,closed_date,no_of_winners,winning_selections_required,winning_selections_total,share_prize,upsets,total_pot,underdog_pts_realized
2021,7,,NFL - WEEK 7,,282,12,12,1997.4,4,563266.8,16.5
2021,8,,NFL - WEEK 8,,4,14,14,143496.8,7,573987.2,33.5
2021,9,,NFL - WEEK 9,,2,13,13,290404.5,7,580809,48.5
2021,10,,NFL - WEEK 10,,6,13,13,90445.0,6,542670,31
2021,11,,NFL - WEEK 11,,6,14,14,88585.0,5,531510,26.5
2021,12,,NFL - WEEK 12,,29,12,12,15160.8,6,439663.19999999995,15
2021,13,,NFL - WEEK 13,,109,13,13,4927.2,6,537064.7999999999,21.5
2021,14,,NFL - WEEK 14,,,13,13,,2,513826.80000000005,5.5
2021,15,,NFL - WEEK 15,,50,11,11,7723.1,4,386155,34
2021,16,,NFL - WEEK 16,,41,13,13,10760.6,3.5,441184.60000000003,22
2021,17,,NFL - WEEK 17,,139,16,16,3534.0,4,491226,19.5
2021,18,,NFL - WEEK 18,,10,14,14,45658.8,7,456588,39
2020,1,,NFL - WEEK 1,,2,15,15,250138.5,7,500277,25
2020,2,,NFL - WEEK 2,,,15,15,,2,587064,6
2020,3,,NFL - WEEK 3,,8,15,15,79814.6,6,638516.8,26
2020,4,,NFL - WEEK 4,,114,12,12,5219.1,2,594977.4,12
2020,5,,NFL - WEEK 5,,118,12,12,4769.8,3,562836.4,22
2020,6,,NFL - WEEK 6,,8,14,14,75904.9,6,607239.2,18.5
2020,7,,NFL - WEEK 7,,322,13,13,1926.3,5,620268.6,9.5
2020,8,,NFL - WEEK 8,,14,13,13,47773.7,6,668831.7999999999,24
2020,9,,NFL - WEEK 9,,103,13,13,5907.0,5,608421,15.5
2020,10,,NFL - WEEK 10,,110,13,13,5907.3,2,649803,12
2020,11,,NFL - WEEK 11,,6,13,13,111541.5,6,669249,26.5
2020,12,,NFL - WEEK 12,,149,13,13,4341.8,4,646928.2000000001,13
2020,13,,NFL - WEEK 13,,12,15,15,58691.5,6,704298,26
2020,14,,NFL - WEEK 14,,23,15,15,27015.5,4,621356.5,15.5
2020,15,,NFL - WEEK 15,,11,13,13,56472.0,5,621192,39
2020,16,,NFL - WEEK 16,,86,12,12,6610.9,3.5,568537.4,18
2020,17,,NFL - WEEK 17,,357,16,16,1755.2,2,626606.4,4.5
