passer_player_name,dropbacks,epa_per_play,rank
J.Love,508,0.25329361688930097,1.0
M.Stafford,741,0.23424773181562272,2.0
D.Maye,682,0.18428963882769483,3.0
D.Prescott,631,0.17874041561792037,4.0
J.Goff,614,0.17447773411323927,5.0
S.Darnold,599,0.16442761284298837,6.0
D.Jones,409,0.15819169215959294,7.0
B.Purdy,359,0.1569651449434123,8.0
J.Allen,584,0.14751210881438317,9.0
M.Jones,308,0.1373930202857719,10.0
J.Burrow,278,0.13168019187957913,11.0
P.Mahomes,537,0.12735750129925985,12.0
